Bat1,Wkts,Conc,Ct,St,,Opposition,Ground,Start Date,
54,-,-,0,0,,v Zimbabwe,Lahore,31 May 2015,ODI # 3653
25,-,-,1,0,,v Sri Lanka,Dambulla,11 Jul 2015,ODI # 3664
12,-,-,0,0,,v Sri Lanka,Pallekele,15 Jul 2015,ODI # 3669
62*,-,-,1,0,,v England,Abu Dhabi,11 Nov 2015,ODI # 3707
4,-,-,1,0,,v England,Abu Dhabi,13 Nov 2015,ODI # 3708
22,-,-,0,0,,v England,Sharjah,17 Nov 2015,ODI # 3710
51,-,-,1,0,,v England,Dubai (DSC),20 Nov 2015,ODI # 3712
62,-,-,0,0,,v New Zealand,Wellington,25 Jan 2016,ODI # 3728
83,-,-,2,0,,v New Zealand,Auckland,31 Jan 2016,ODI # 3730
29,-,-,0,0,,v Ireland,Dublin (Malahide),18 Aug 2016,ODI # 3767
40,-,-,1,0,,v England,Southampton,24 Aug 2016,ODI # 3770
30,-,-,0,0,,v England,Lord's,27 Aug 2016,ODI # 3771
9,-,-,0,0,,v England,Nottingham,30 Aug 2016,ODI # 3773
12,-,-,1,0,,v England,Leeds,1 Sep 2016,ODI # 3775
31,-,-,0,0,,v England,Cardiff,4 Sep 2016,ODI # 3777
120,-,-,0,0,,v West Indies,Sharjah,30 Sep 2016,ODI # 3784
123,-,-,0,0,,v West Indies,Sharjah,2 Oct 2016,ODI # 3788
117,-,-,0,0,,v West Indies,Abu Dhabi,5 Oct 2016,ODI # 3789
33,-,-,0,0,,v Australia,Brisbane,13 Jan 2017,ODI # 3817
34,-,-,0,0,,v Australia,Melbourne,15 Jan 2017,ODI # 3818
84,-,-,0,0,,v Australia,Perth,19 Jan 2017,ODI # 3820
31,-,-,0,0,,v Australia,Sydney,22 Jan 2017,ODI # 3822
100,-,-,1,0,,v Australia,Adelaide,26 Jan 2017,ODI # 3826
13,-,-,1,0,,v West Indies,Providence,7 Apr 2017,ODI # 3861
125*,-,-,2,0,,v West Indies,Providence,9 Apr 2017,ODI # 3862
16,-,-,0,0,,v West Indies,Providence,11 Apr 2017,ODI # 3863
8,-,-,0,0,,v India,Birmingham,4 Jun 2017,ODI # 3878
31*,-,-,1,0,,v South Africa,Birmingham,7 Jun 2017,ODI # 3881
10,-,-,1,0,,v Sri Lanka,Cardiff,12 Jun 2017,ODI # 3888
38*,-,-,1,0,,v England,Cardiff,14 Jun 2017,ODI # 3889
46,-,-,1,0,,v India,The Oval,18 Jun 2017,ODI # 3894
103,-,-,0,0,,v Sri Lanka,Dubai (DSC),13 Oct 2017,ODI # 3922
101,-,-,2,0,,v Sri Lanka,Abu Dhabi,16 Oct 2017,ODI # 3924
30,-,-,0,0,,v Sri Lanka,Abu Dhabi,18 Oct 2017,ODI # 3926
69*,-,-,2,0,,v Sri Lanka,Sharjah,20 Oct 2017,ODI # 3927
DNB,-,-,0,0,,v Sri Lanka,Sharjah,23 Oct 2017,ODI # 3930
0,-,-,1,0,,v New Zealand,Wellington,6 Jan 2018,ODI # 3946
10,-,-,0,0,,v New Zealand,Nelson,9 Jan 2018,ODI # 3947
8,-,-,0,0,,v New Zealand,Dunedin,13 Jan 2018,ODI # 3949
3,-,-,1,0,,v New Zealand,Hamilton,16 Jan 2018,ODI # 3953
10,-,-,0,0,,v New Zealand,Wellington,19 Jan 2018,ODI # 3957
30,-,-,1,0,,v Zimbabwe,Bulawayo,13 Jul 2018,ODI # 4015
29*,-,-,0,0,,v Zimbabwe,Bulawayo,16 Jul 2018,ODI # 4017
19*,-,-,1,0,,v Zimbabwe,Bulawayo,18 Jul 2018,ODI # 4019
DNB,-,-,1,0,,v Zimbabwe,Bulawayo,20 Jul 2018,ODI # 4020
106*,-,-,0,0,,v Zimbabwe,Bulawayo,22 Jul 2018,ODI # 4021
33,-,-,0,0,,v Hong Kong,Dubai (DSC),16 Sep 2018,ODI # 4037
47,-,-,1,0,,v India,Dubai (DSC),19 Sep 2018,ODI # 4040
66,-,-,0,0,,v Afghanistan,Abu Dhabi,21 Sep 2018,ODI # 4043
9,-,-,0,0,,v India,Dubai (DSC),23 Sep 2018,ODI # 4044
1,-,-,0,0,,v Bangladesh,Abu Dhabi,26 Sep 2018,ODI # 4047
0,-,-,1,0,,v New Zealand,Abu Dhabi,7 Nov 2018,ODI # 4066
46,-,-,0,0,,v New Zealand,Abu Dhabi,9 Nov 2018,ODI # 4068
92,-,-,0,0,,v New Zealand,Dubai (DSC),11 Nov 2018,ODI # 4070
49,-,-,0,0,,v South Africa,Gqeberha,19 Jan 2019,ODI # 4080
12,-,-,0,0,,v South Africa,Durban,22 Jan 2019,ODI # 4081
69,-,-,1,0,,v South Africa,Centurion,25 Jan 2019,ODI # 4084
41*,-,-,1,0,,v South Africa,Johannesburg,27 Jan 2019,ODI # 4087
24,-,-,0,0,,v South Africa,Cape Town,30 Jan 2019,ODI # 4090
16,-,-,-,-,,v England,The Oval,8 May 2019,ODI # 4130
51,-,-,0,0,,v England,Southampton,11 May 2019,ODI # 4133
15,-,-,1,0,,v England,Bristol,14 May 2019,ODI # 4135
115,-,-,0,0,,v England,Nottingham,17 May 2019,ODI # 4138
80,-,-,1,0,,v England,Leeds,19 May 2019,ODI # 4140
22,-,-,1,0,,v West Indies,Nottingham,31 May 2019,ODI # 4144
63,-,-,0,0,,v England,Nottingham,3 Jun 2019,ODI # 4148
30,-,-,0,0,,v Australia,Taunton,12 Jun 2019,ODI # 4157
48,-,-,2,0,,v India,Manchester,16 Jun 2019,ODI # 4161
69,-,-,0,0,,v South Africa,Lord's,23 Jun 2019,ODI # 4171
101*,-,-,0,0,,v New Zealand,Birmingham,26 Jun 2019,ODI # 4174
45,-,-,1,0,,v Afghanistan,Leeds,29 Jun 2019,ODI # 4177
96,-,-,1,0,,v Bangladesh,Lord's,5 Jul 2019,ODI # 4186
115,-,-,0,0,,v Sri Lanka,Karachi,30 Sep 2019,ODI # 4211
31,-,-,0,0,,v Sri Lanka,Karachi,2 Oct 2019,ODI # 4212
19,-,-,0,0,,v Zimbabwe,Rawalpindi,30 Oct 2020,ODI # 4262
77*,-,-,0,0,,v Zimbabwe,Rawalpindi,1 Nov 2020,ODI # 4263
125,-,-,0,0,,v Zimbabwe,Rawalpindi,3 Nov 2020,ODI # 4264
103,-,-,1,0,,v South Africa,Centurion,2 Apr 2021,ODI # 4285
31,-,-,1,0,,v South Africa,Johannesburg,4 Apr 2021,ODI # 4286
94,-,-,0,0,,v South Africa,Centurion,7 Apr 2021,ODI # 4287
0,-,-,0,0,,v England,Cardiff,8 Jul 2021,ODI # 4299
19,-,-,0,0,,v England,Lord's,10 Jul 2021,ODI # 4300
158,-,-,1,0,,v England,Birmingham,13 Jul 2021,ODI # 4303
57,-,-,0,0,,v Australia,Lahore,29 Mar 2022,ODI # 4379
114,-,-,1,0,,v Australia,Lahore,31 Mar 2022,ODI # 4380
105*,-,-,0,0,,v Australia,Lahore,2 Apr 2022,ODI # 4382
103,-,-,0,0,,v West Indies,Multan,8 Jun 2022,ODI # 4401
77,-,-,0,0,,v West Indies,Multan,10 Jun 2022,ODI # 4405
1,-,-,1,0,,v West Indies,Multan,12 Jun 2022,ODI # 4407
74,-,-,1,0,,v Netherlands,Rotterdam,16 Aug 2022,ODI # 4448
57,-,-,1,0,,v Netherlands,Rotterdam,18 Aug 2022,ODI # 4452
91,-,-,0,0,,v Netherlands,Rotterdam,21 Aug 2022,ODI # 4455
66,-,-,1,0,,v New Zealand,Karachi,9 Jan 2023,ODI # 4500
79,-,-,0,0,,v New Zealand,Karachi,11 Jan 2023,ODI # 4502
4,-,-,0,0,,v New Zealand,Karachi,13 Jan 2023,ODI # 4504
49,-,-,0,0,,v New Zealand,Rawalpindi,27 Apr 2023,ODI # 4569
65,-,-,0,0,,v New Zealand,Rawalpindi,29 Apr 2023,ODI # 4571
54,-,-,0,0,,v New Zealand,Karachi,3 May 2023,ODI # 4573
107,-,-,0,0,,v New Zealand,Karachi,5 May 2023,ODI # 4574
1,-,-,1,0,,v New Zealand,Karachi,7 May 2023,ODI # 4575
0,-,-,0,0,,v Afghanistan,Hambantota,22 Aug 2023,ODI # 4625
53,-,-,0,0,,v Afghanistan,Hambantota,24 Aug 2023,ODI # 4626
60,-,-,0,0,,v Afghanistan,Colombo (RPS),26 Aug 2023,ODI # 4627
151,-,-,0,0,,v Nepal,Multan,30 Aug 2023,ODI # 4628
TDNB,-,-,1,0,,v India,Pallekele,2 Sep 2023,ODI # 4630
17,-,-,0,0,,v Bangladesh,Lahore,6 Sep 2023,ODI # 4634
