district,status,status_num
Barishal,Never Visited,0
Bhola,Never Visited,0
Barguna,Never Visited,0
Jhalokati,Never Visited,0
Patuakhali,Never Visited,0
Pirojpur,Never Visited,0
Bandarban,Visited,4
Brahmanbaria,Went through,3
Chandpur,Visited,4
Chattogram,Visited,4
Cumilla,Visited,4
Cox's Bazar,Visited,4
Feni,Visited,4
Khagrachhari,Visited,4
Lakshmipur,Home District,1
Noakhali,Visited,4
Rangamati,Visited,4
Dhaka,Visited,4
Faridpur,Never Visited,0
Gazipur,Visited,4
Gopalganj,Never Visited,0
Jamalpur,Never Visited,0
Kishoreganj,Went through,3
Madaripur,Never Visited,0
Manikgonj,Went through,3
Munshiganj,Went through,3
Narayanganj,Went through,3
Narsingdi,Visited,4
Mymensingh,Visited,4
Netrokona,Never Visited,0
Rajbari,Went through,3
Shariatpur,Never Visited,0
Sherpur,Never Visited,0
Tangail,Went through,3
Bagerhat,Visited,4
Chuadanga,Never Visited,0
Jashore,Went through,3
Jhenaidah,Visited,4
Khulna,Visited,4
Kushtia,Visited,4
Magura,Never Visited,0
Meherpur,Never Visited,0
Narail,Never Visited,0
Satkhira,Visited,4
Bogura,Visited,4
Joypurhat,Went through,3
Naogaon,Never Visited,0
Natore,Went through,3
Chapainawabganj,Never Visited,0
Pabna,Visited,4
Rajshahi,Visited,4
Sirajganj,Went through,3
Dinajpur,Went through,3
Gaibandha,Never Visited,0
Kurigram,Never Visited,0
Lalmonirhat,Never Visited,0
Nilphamari,Went through,3
Panchagarh,Visited,4
Rangpur,Visited,4
Thakurgaon,Went through,3
Habiganj,Went through,3
Moulvibazar,Visited,4
Sunamganj,Visited,4
Sylhet,Visited,4
